07-04-2026 16:52:12 | GET | cafeteria-api/pedidos
07-04-2026 16:52:14 | OPTIONS | cafeteria-api/pedidos/7
07-04-2026 16:52:14 | DELETE | cafeteria-api/pedidos/7
07-04-2026 16:52:14 | GET | cafeteria-api/pedidos
07-04-2026 16:58:22 | GET | cafeteria-api/pedidos
07-04-2026 16:58:23 | GET | cafeteria-api/pedidos
07-04-2026 17:10:15 | GET | cafeteria-api/pedidos
07-04-2026 17:10:17 | GET | cafeteria-api/pedidos
07-04-2026 17:10:17 | GET | cafeteria-api/pedidos
07-04-2026 17:10:18 | GET | cafeteria-api/pedidos
07-04-2026 17:10:18 | GET | cafeteria-api/pedidos
07-04-2026 17:10:21 | GET | cafeteria-api/pedidos
07-04-2026 17:11:46 | GET | cafeteria-api/pedidos
07-04-2026 17:11:47 | GET | cafeteria-api/pedidos
07-04-2026 17:11:48 | GET | cafeteria-api/pedidos
07-04-2026 17:11:49 | GET | cafeteria-api/pedidos
07-04-2026 17:11:49 | GET | cafeteria-api/pedidos
07-04-2026 17:11:49 | GET | cafeteria-api/pedidos
07-04-2026 17:11:50 | GET | cafeteria-api/pedidos
07-04-2026 18:46:15 | GET | cafeteria-api/pedidos
07-04-2026 18:46:17 | GET | cafeteria-api/produtos
07-04-2026 18:46:17 | GET | cafeteria-api/categorias
07-04-2026 18:49:21 | GET | cafeteria-api/pedidos
07-04-2026 18:49:21 | GET | cafeteria-api/produtos
07-04-2026 18:49:21 | GET | cafeteria-api/categorias
07-04-2026 18:49:23 | GET | cafeteria-api/pedidos
07-04-2026 18:49:26 | GET | cafeteria-api/pedidos
07-04-2026 18:50:16 | GET | cafeteria-api/categorias
07-04-2026 18:51:44 | GET | cafeteria-api/produtos
07-04-2026 18:51:44 | GET | cafeteria-api/categorias
07-04-2026 18:52:08 | GET | cafeteria-api/produtos
07-04-2026 18:52:08 | GET | cafeteria-api/categorias
07-04-2026 18:52:08 | GET | cafeteria-api/categorias
07-04-2026 18:52:08 | GET | cafeteria-api/produtos
07-04-2026 18:52:37 | GET | cafeteria-api/produtos
07-04-2026 18:52:37 | GET | cafeteria-api/categorias
07-04-2026 18:52:40 | GET | cafeteria-api/pedidos
07-04-2026 18:52:42 | GET | cafeteria-api/categorias
07-04-2026 18:52:43 | GET | cafeteria-api/categorias
07-04-2026 18:52:44 | GET | cafeteria-api/pedidos
07-04-2026 18:52:44 | GET | cafeteria-api/produtos
07-04-2026 18:52:44 | GET | cafeteria-api/categorias
07-04-2026 18:52:45 | GET | cafeteria-api/pedidos
07-04-2026 18:52:46 | GET | cafeteria-api/pedidos
07-04-2026 18:52:47 | GET | cafeteria-api/pedidos
07-04-2026 19:02:52 | GET | cafeteria-api/pedidos
07-04-2026 19:02:55 | GET | cafeteria-api/produtos
07-04-2026 19:02:55 | GET | cafeteria-api/categorias
07-04-2026 19:03:01 | GET | cafeteria-api/categorias
07-04-2026 19:03:02 | GET | cafeteria-api/produtos
07-04-2026 19:03:02 | GET | cafeteria-api/categorias
07-04-2026 19:03:03 | GET | cafeteria-api/produtos
s
07-04-2026 19:03:03 | GET | cafeteria-api/pedidos
07-04-2026 19:03:10 | GET | cafeteria-api/pedidos
07-04-2026 19:08:45 | GET | cafeteria-api/pedidos
07-04-2026 19:23:15 | GET | cafeteria-api/pedidos
07-04-2026 19:37:20 | GET | cafeteria-api/produtos
07-04-2026 20:55:53 | GET | cafeteria-api
07-04-2026 20:56:13 | GET | cafeteria-api
07-04-2026 21:02:27 | POST | cafeteria-api/pedidos_itens
07-04-2026 21:02:41 | POST | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:07 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:07 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:08 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:08 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:08 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:08 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:08 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:08 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:09 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:09 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:09 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:09 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:09 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:10 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:10 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:10 | GET | cafeteria-api/controllers/pedidos_itens
07-04-2026 21:14:13 | GET | cafeteria-api/controllers/pedidos_itens.php
07-04-2026 21:14:14 | GET | cafeteria-api/controllers/pedidos_itens.php
07-04-2026 21:14:34 | GET | cafeteria-api/controllers/pedidos_item.
07-04-2026 21:14:35 | GET | cafeteria-api/controllers/pedidos_item.
07-04-2026 21:14:35 | GET | cafeteria-api/controllers/pedidos_item.
